## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.type,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
tv18024,Specifying Packages in Adobe Campaign Classic,Campaign,Learn how to build packages for deployment in Adobe Campaign Classic,/www/img/thumb/18024.jpg,,https://video.tv.adobe.com/v/18024/?quality=9,,,Video,,,,,,,,,,
tv21860t1,Adobe + Microsoft: How W.B. Mason is a Modern Experience Business,Campaign,Recorded live at Adobe Summit 2018. (00:36:30),/www/img/thumb/21860t1.jpg,,https://video.tv.adobe.com/v/21860t/?quality=9,,,Summit Session,,,,,,,,,,
tv23959,"""Try in Workspace"" Button in Reports & Analytics",Analytics,"Most reports in Reports & Analytics include a ""Try in Workspace"" button to allow you to reproduce the current view in Analysis Workspace for further customization.",/www/img/thumb/23959.jpg,,https://video.tv.adobe.com/v/23959/?quality=9,,,Video,,,,,,,,,,
tv25861,How to Migrate from Adobe Dynamic Tag Manager (DTM) to Adobe Launch,Analytics,"Migrating from Adobe Dynamic Tag Manager to Launch, by Adobe is a simple two-step process. This video walks through a live migration from Dynamic Tag Manager to Launch and the necessary decisions along the way.",/www/img/thumb/25861.jpg,,https://video.tv.adobe.com/v/2586/?quality=9,,,Video,,,,,,,,,,
tv23120,Implementing Tracking Templates from Advertising Analytics into Search Engines,Analytics,This video will walk you through the steps of implementing your tracking templates from Advertising Analytics into the supported Search Engines. Implementing the tracking template is the critical step to collect and pass your data to Adobe Analytics.,/www/img/thumb/23120.jpg,,https://video.tv.adobe.com/v/23120/?quality=9,,,Video,,,,,,,,,,
tv23024,Using best practices when tracking SPA in Adobe Analytics,Analytics,"In this document, we will describe several best practices that you should follow and be aware of as you are using Adobe Analytics to track Single Page Applications (SPA). This doc will focus on using Launch by Adobe, which is the recommended implementation method.",/www/img/thumb/23024.jpg,,https://video.tv.adobe.com/v/23024/?quality=9,,,Video,,,,,,,,,,
tv26124,Map contextData Variables into Props and Evars with Processing Rules,Analytics,"When using contextData variables in your Adobe Analytics implementation, in order to have your data show up in actual reports, you need to map the contextData variables to props/eVars in the Processing Rules interface. This video shows you how to do this.",/www/img/thumb/26124.jpg,,https://video.tv.adobe.com/v/26124/?quality=9,,,Video,,,,,,,,,,
tv26061,How to Identify Your Analytics Tracking Server and Report Suites,Analytics,"When setting up Adobe Analytics, or when referencing it in other Experience Cloud solutions, it is often helpful or even necessary to know the Analytics “Tracking Server” that you are using, or also the “Report Suite” that you are sending data into. This video shows you how to locate both values, whether or not you have already implemented Adobe Analytics.",/www/img/thumb/26061.jpg,,https://video.tv.adobe.com/v/26061/?quality=9,,,Video,,,,,,,,,,
tv23701,Migrating from Tracking Server to Report Suite-Level Server-Side Forwarding,Analytics,This article and video will show you how to enable server-side forwarding of Analytics Data to Audience Manager at a report suite level instead of at a tracking server level.,/www/img/thumb/23701.jpg,,https://video.tv.adobe.com/v/23701/?quality=9,,,Video,,,,,,,,,,
tv23233,Creating New Analysis Workspace Projects,Analytics,"In this video you will learn how to use the Analysis Workspace New Project modal to create a project from a blank canvas, from an Adobe Standard Template or from a Custom Template. You can even search and sort your templates in the modal to find one that fits your need.",/www/img/thumb/23233.jpg,,https://video.tv.adobe.com/v/23233/?quality=9,,,Video,,,,,,,,,,
tv25172,Enable Server Side Forwarding in Adobe Launch,Analytics,Learn how to use Adobe Launch to have your Adobe Analytics hits automatically sent to Adobe Audience Manager via server-side forwarding. ,/www/img/thumb/25172.jpg,,https://video.tv.adobe.com/v/2517/?quality=9,,,Video,,,,,,,,,,
tv25913,Updating AppMeasurement When Not Using Adobe Launch,Analytics,This video shows you how to update your appMeasurement code when you are not using Adobe Launch. This includes where to get the code and where to update it.,/www/img/thumb/25913.jpg,,https://video.tv.adobe.com/v/25913/?quality=9,,,Video,,,,,,,,,,
tv25456,First-time Adobe Analytics implementation,Analytics,"It's easier than ever to implement Adobe Analytics. If you're brand new to our solution, this video will walk you through the process of getting up and running with data in a matter of minutes.",/www/img/thumb/25456.jpg,,https://video.tv.adobe.com/v/25456/?quality=9,,,Video,,,,,,,,,,
tv25763,Configuring Easy Exit Link Tracking in Adobe Launch,Analytics,"In just a few clicks in the Adobe Analytics Extension in Adobe Launch, you can start tracking exit links on your site (links that lead off of your site to another site). This video shows you how to set it up.",/www/img/thumb/25763.jpg,,https://video.tv.adobe.com/v/25763/?quality=9,,,Video,,,,,,,,,,
tv25171,Use doPlugins in the Adobe Analytics Extension,Analytics,Learn to use Adobe Launch in order to have more control over your Adobe Analytics hits by leveraging the doPlugins capability.,/www/img/thumb/25171.jpg,,https://video.tv.adobe.com/v/2517/?quality=9,,,Video,,,,,,,,,,
tv25832,Custom Link Tracking without a Tag Manager,Analytics,"For many actions on the page, tracking should not be treated like a page view. In this video, you will learn how to code a link tracking beacon to Analytics, if you are not using a tag manager (like Adobe Launch). See the code, as well as learning an important tip.",/www/img/thumb/25832.jpg,,https://video.tv.adobe.com/v/25832/?quality=9,,,Video,,,,,,,,,,
tv23960,Standard Templates in Analysis Workspace,Analytics,Analysis Workspace gives you a head start on your analysis with Standard Templates (formerly called Starter Projects),/www/img/thumb/23960.jpg,,https://video.tv.adobe.com/v/23960/?quality=9,,,Video,,,,,,,,,,
tv23135,Analysis Workspace In-Product Tips,Analytics,"Workspace Tips provide a quick learning directly in Analysis Workspace, with links to related videos so you can see each tip in action.",/www/img/thumb/23135.jpg,,https://video.tv.adobe.com/v/23135/?quality=9,,,Video,,,,,,,,,,
tv23231,Create and Manage Custom Templates in Analysis Workspace,Analytics,"In this video you will learn how to create custom templates in Analysis Workspace, so that you and your team can start from a specific set of reports.",/www/img/thumb/23231.jpg,,https://video.tv.adobe.com/v/23231/?quality=9,,,Video,,,,,,,,,,
tv25762,Configuring Easy Download Link Tracking in Adobe Launch,Analytics,"In just a few clicks in the Adobe Analytics Extension in Adobe Launch, you can start tracking download links on your site (links that download non-browser files on your machine). This video shows you how to set it up.",/www/img/thumb/25762.jpg,,https://video.tv.adobe.com/v/25762/?quality=9,,,Video,,,,,,,,,,
tv25899,Using a Data Layer to set Page Name and Other Variables in Adobe Analytics via Launch,Analytics,"Using a data layer for Analytics and other Experience Cloud solutions is considered a best practice. In this video, you’ll see how to pull your values out of the data layer and use them in Launch to populate variables in Adobe Analytics.",/www/img/thumb/25899.jpg,,https://video.tv.adobe.com/v/25899/?quality=9,,,Video,,,,,,,,,,
tv23878,Inspecting Implementations with the Adobe Experience Cloud Debugger,Analytics,The Experience Cloud debugger is a tool that allows users to inspect and debug Experience Cloud Tags. This video covers how to use the Experience Cloud Debugger to inspect Analytics implementations.,/www/img/thumb/23878.jpg,,https://video.tv.adobe.com/v/23878/?quality=9,,,Video,,,,,,,,,,
tv26263,Using Dependency Managers for the AEP SDK,Analytics,This video shows how to use Cocoapods and Gradle to manage Experience Platform SDK extensions and dependencies. This is part of the setup in order to start using the SDK to track your mobile app.,/www/img/thumb/26263.jpg,,https://video.tv.adobe.com/v/26263/?quality=9,,,Video,,,,,,,,,,
tv26258,Initializing and Viewing Lifecycle Metrics with the Experience Platform SDK,Analytics,"Lifecycle metrics are valuable, out-of-the-box information about your app user. These metrics contain information on the app user's lifecycle such as device information, install or upgrade information, session start and pause times, etc. In this video, see how to set up lifecycle metrics in your app, and how to see the results in a debugger.",/www/img/thumb/26258.jpg,,https://video.tv.adobe.com/v/26258/?quality=9,,,Video,,,,,,,,,,
tv26264,Creating Mobile Properties in Experience Platform Launch,Analytics,"To start implementing the SDK, you'll need to first create a mobile property in Adobe Experience Platform Launch. You'll setup configuration required by the Mobile Core and any extensions you add, and then publish the configuration into an Environment. When you implement the SDK in your app, you'll reference the Environment to get going. This video walks you through the process.",/www/img/thumb/26264.jpg,,https://video.tv.adobe.com/v/26264/?quality=9,,,Video,,,,,,,,,,
tv26260,Tracking State (AKA Pages or Screens) in a Mobile app with the Experience Platform SDK,Analytics,"States represent screens or views in your app. Each time a new state is displayed in your application, for example, when a user navigates from the home page to the news feed, ""trackState"" can be called to send in the State Name (Page Name in Analytics), as well as addiitonal data. This video walks you through how to do it.",/www/img/thumb/26260.jpg,,https://video.tv.adobe.com/v/26260/?quality=9,,,Video,,,,,,,,,,
tv26268,Tracking Actions (AKA Custom Links) in a Mobile App with the Experience Platform SDK,Analytics,"Actions are events that occur in your mobile app. In this video, learn how to use the trackAction API to track and measure an action. ",/www/img/thumb/26268.jpg,,https://video.tv.adobe.com/v/26268/?quality=9,,,Video,,,,,,,,,,
tv25460,Setting an Analysis Workspace Project as your Landing Page,Analytics,This video takes you through how to set a project as the landing page.,/www/img/thumb/25460.jpg,,https://video.tv.adobe.com/v/25460/?quality=9,,,Video,,,,,,,,,,
tv25963,View Density in Analysis Workspace,Analytics,"The View Density setting under Project > Info & Settings allows you to control the vertical padding applied to the left rail and tables (Freeform & Cohort). You can choose between Expanded (default), Comfortable, or Compact.",/www/img/thumb/25963.jpg,,https://video.tv.adobe.com/v/25963/?quality=9,,,Video,,,,,,,,,,
tv25458,Enhancing Security in Adobe Analytics,Analytics,"Adobe Analytics is up to the latest security standards. If your organization wants to extend that security with things like strong passwords and IP login restrictions, this video will show you how.",/www/img/thumb/25458.jpg,,https://video.tv.adobe.com/v/25458/?quality=9,,,Video,,,,,,,,,,
tv25459,Set Analysis Workspace as your landing page in Adobe Analytics,Analytics,This video shows how you can set various aspects of Analysis Workspace as your landing page in Adobe Analytics to streamline your workflows.,/www/img/thumb/25459.jpg,,https://video.tv.adobe.com/v/25459/?quality=9,,,Video,,,,,,,,,,
tv25457,Customizing the Menu in Reports & Analytics,Analytics,This video takes you through how to customize the menus in Analytics for your business.,/www/img/thumb/25457.jpg,,https://video.tv.adobe.com/v/25457/?quality=9,,,Video,,,,,,,,,,
tv23230,Copy and Insert in Analysis Workspace,Analytics,"Copy + Insert lets you copy visualizations from one panel or project to another, and copy full panels across projects as well.",/www/img/thumb/23230.jpg,,https://video.tv.adobe.com/v/23230/?quality=9,,,Video,,,,,,,,,,
tv23969,Dimension Breakdowns in Analysis Workspace,Analytics,Freeform Analysis gives you the ability to do as many breakdowns as you want by dragging and dropping once. Faster analysis FTW! This video shows you how to do it.,/www/img/thumb/23969.jpg,,https://video.tv.adobe.com/v/23969/?quality=9,,,Video,,,,,,,,,,
tv23967,Selecting a Report Suite in Adobe Analytics,Analytics,This video takes you through the report suite selector.,/www/img/thumb/23967.jpg,,https://video.tv.adobe.com/v/23967/?quality=9,,,Video,,,,,,,,,,
tv23981,Using the Right-Click Menu in Analysis Workspace,Analytics,Learn how to use the right-click menu in Analysis Workspace to do faster breakdowns and more.,/www/img/thumb/23981.jpg,,https://video.tv.adobe.com/v/23981/?quality=9,,,Video,,,,,,,,,,
tv23387,Using Drop Zone Guides in Analysis Workspace,Analytics,"No matter your level of experience with Analysis Workspace, Drop Zone Guides aim to provide subtle, contextual guides to help you build analyses more efficiently, with less undo actions.",/www/img/thumb/23387.jpg,,https://video.tv.adobe.com/v/23387/?quality=9,,,Video,,,,,,,,,,
tv23984,Keyboard Shortcuts in Analysis Workspace,Analytics,"This video goes through keyboard shortcut options in Analysis Workspace, to show you how to move more quickly and efficiently.",/www/img/thumb/23984.jpg,,https://video.tv.adobe.com/v/23984/?quality=9,,,Video,,,,,,,,,,
tv23727,Time-parting Dimensions in Analysis Workspace,Analytics,"Time-parting takes the timestamp of collected hits and breaks it into more meaningful dimensions, such as ""Hour of Day"" or ""Day of Week"". These dimensions are now out-of-the-box in Analysis Workspace.",/www/img/thumb/23727.jpg,,https://video.tv.adobe.com/v/23727/?quality=9,,,Video,,,,,,,,,,
tv24035,Project Management in Analysis Workspace,Analytics,This video shows how you can manage projects that you create in Analysis Workspace in Adobe Analytics.,/www/img/thumb/24035.jpg,,https://video.tv.adobe.com/v/24035/?quality=9,,,Video,,,,,,,,,,
tv23134,Percent of Row In Analysis Workspace,Analytics,"In this video, you will learn how to customize your tables in Analysis Workspace to show individual item percentages compared to either the row or column totals.",/www/img/thumb/23134.jpg,,https://video.tv.adobe.com/v/23134/?quality=9,,,Video,,,,,,,,,,
tv23651,Adding side-by-side comparisons of Attribution IQ Models in Analysis Workspace,Analytics,"In this video, learn how to quickly compare Attribution IQ models, including an auto-created column that shows the percent difference between the two models' numbers.",/www/img/thumb/23651.jpg,,https://video.tv.adobe.com/v/23651/?quality=9,,,Video,,,,,,,,,,
tv23136,Using Attribution IQ in Freeform Tables,Analytics,Attribution IQ allows you to change the attribution model to any of ten rules-based models on a Freeform column on the fly.,/www/img/thumb/23136.jpg,,https://video.tv.adobe.com/v/23136/?quality=9,,,Video,,,,,,,,,,
tv23970,"Creating Ranked, Overtime and Trended Reports in Analysis Workspace",Analytics,"Learn how to do ranked, ""over time,"" and trended reports in Freeform Analysis in Adobe Analytics",/www/img/thumb/23970.jpg,,https://video.tv.adobe.com/v/23970/?quality=9,,,Video,,,,,,,,,,
tv23232,Freeform Table Filters in Analysis Workspace,Analytics,Filters provide more control over what rows of data are shared in a freeform table.,/www/img/thumb/23232.jpg,,https://video.tv.adobe.com/v/23232/?quality=9,,,Video,,,,,,,,,,
tv23138,Dynamic Columns In Analysis Workspace Freeform Tables,Analytics,"In this video you will learn how to use ""top N items"" as either a dynamic list or a static list, based on your analysis needs.",/www/img/thumb/23138.jpg,,https://video.tv.adobe.com/v/23138/?quality=9,,,Video,,,,,,,,,,
tv23983,Undoing actions in Analysis Workspace,Analytics,"Analysis Workspace in Adobe Analytics now allows you to ""undo"" actions such as dragging an item onto the canvas or performing a breakdown. This video shows how you can use undo to be more efficient in your analysis.",/www/img/thumb/23983.jpg,,https://video.tv.adobe.com/v/23983/?quality=9,,,Video,,,,,,,,,,
tv23968,"Pagination, Filtering, and Sorting Tables in Analysis Workspace",Analytics,"This video shows how you can move through your results and organize your data through pagination, filtering, and sorting in Analysis Workspace.",/www/img/thumb/23968.jpg,,https://video.tv.adobe.com/v/23968/?quality=9,,,Video,,,,,,,,,,
tv24033,Dimension Breakdown by Position in Analysis Workspace,Analytics,Sometimes you want a breakdown to always stay with the position (e.g. the top five values) rather than staying with the values. Analysis Workspace now gives you this ability.,/www/img/thumb/24033.jpg,,https://video.tv.adobe.com/v/24033/?quality=9,,,Video,,,,,,,,,,
tv23971,Dimensions in Analysis Workspace,Analytics,This video shares various ways to use dimensions in the Analysis Workspace interface of Adobe Analytics.,/www/img/thumb/23971.jpg,,https://video.tv.adobe.com/v/23971/?quality=9,,,Video,,,,,,,,,,
tv23982,Continued Right-click Menu in Analysis Workspace,Analytics,Analysis Workspace includes powerful right-click menus which include a number of powerful features. This video explains how to work with right-click menus inside of Analysis Workspace.,/www/img/thumb/23982.jpg,,https://video.tv.adobe.com/v/23982/?quality=9,,,Video,,,,,,,,,,
tv23139,Using the Attribution IQ Panel in Analysis Workspace,Analytics,"In this video, you will see the Attribution IQ Panel, a great place to start as you build out your attribution Analysis Workspace project.",/www/img/thumb/23139.jpg,,https://video.tv.adobe.com/v/23139/?quality=9,,,Video,,,,,,,,,,
tv23128,Column Settings Updates In Analysis Workspace (E.g. Text Wrapping),Analytics,"Wrapping your column header text is now available! Take a look at all the improvements made to column settings recently, and learn a few ways that you can make your data tables stand out.",/www/img/thumb/23128.jpg,,https://video.tv.adobe.com/v/23128/?quality=9,,,Video,,,,,,,,,,
tv23965,Menu Bar in Analysis Workspace,Analytics,Analysis Workspace just got even easier to control and navigate with updated menus that organize the various options for managing projects and analysis into familiar categories.,/www/img/thumb/23965.jpg,,https://video.tv.adobe.com/v/23965/?quality=9,,,Video,,,,,,,,,,
tv23560,Zero State Improvements in Analysis Workspace,Analytics,"""Zero State"" is the opening layout of Analysis Workspace. To help both novice and seasoned users get value out of Analysis Workspace, we've improved the left rail, blank panel, freeform table, and drop zones to be more intuitive to users.",/www/img/thumb/23560.jpg,,https://video.tv.adobe.com/v/23560/?quality=9,,,Video,,,,,,,,,,
tv23388,Using Panels to Organize your Analysis Workspace Projects,Analytics,"Panels are a collection of visualizations in Analysis Workspace. Blank panels & freeform panels are places to start your analysis, while Attribution IQ and Segment Comparison do a lot of the heavy lifting for more advanced analyses. We've also now added a ""+"" panel button so you can add blank panels on-the-fly.",/www/img/thumb/23388.jpg,,https://video.tv.adobe.com/v/23388/?quality=9,,,Video,,,,,,,,,,
tv23964,Filtering the Component Menu in Analysis Workspace,Analytics,This videos shows you how to limit the component menu to just those items that you need for your analysis.,/www/img/thumb/23964.jpg,,https://video.tv.adobe.com/v/23964/?quality=9,,,Video,,,,,,,,,,
tv23980,Apply Multiple Components at once in Analysis Workspace,Analytics,"This video shows how to quickly apply multiple metrics, segments and dimensions to a report in Analysis Workspace.",/www/img/thumb/23980.jpg,,https://video.tv.adobe.com/v/23980/?quality=9,,,Video,,,,,,,,,,
tv24095,Component Management in Analysis Workspace,Analytics,"You can manage your dimensions, segments, metrics, and date ranges directly in Analysis Workspace. No need to leave your project while you go find a segment to share.",/www/img/thumb/24095.jpg,,https://video.tv.adobe.com/v/24095/?quality=9,,,Video,,,,,,,,,,
tv23966,Previewing and Using Components in Analysis Workspace,Analytics,"This video shows how to work with the left rail containing dimensions, metrics, segments and dates in Analysis Workspace.",/www/img/thumb/23966.jpg,,https://video.tv.adobe.com/v/23966/?quality=9,,,Video,,,,,,,,,,
tv23979,"Creating Metrics, Segments, and Dates in Analysis Workspace",Analytics,"Analysis Workspace allows you to create calculated metrics, segments, and date ranges for comparison/breakdown directly in the tool. This video walks you through how to get started.",/www/img/thumb/23979.jpg,,https://video.tv.adobe.com/v/23979/?quality=9,,,Video,,,,,,,,,,
tv23126,Quick Calculated Metrics in Analysis Workspace,Analytics,"Now you can build calculated metrics on the fly within Analysis Workspace.  If you’re looking to do a quick percent change or division with a few metrics in your freeform table, just select the metrics from the header, right click and pick the operator you want.  The new calculated metric will appear on the right.",/www/img/thumb/23126.jpg,,https://video.tv.adobe.com/v/23126/?quality=9,,,Video,,,,,,,,,,
tv23978,Ad Hoc (Temporary) Segments in Analysis Workspace,Analytics,"Have you ever wanted to quickly create a simple segment to answer a specific question, then discard the segment so it doesn't fill up your list of saved segments? Now you can!",/www/img/thumb/23978.jpg,,https://video.tv.adobe.com/v/23978/?quality=9,,,Video,,,,,,,,,,
tv24038,Using segments to limit data in Analysis Workspace,Analytics,This video shows how you can limit users of a project in Analysis Workspace to a specific segment (or segments) as they are working with the tool.,/www/img/thumb/24038.jpg,,https://video.tv.adobe.com/v/24038/?quality=9,,,Video,,,,,,,,,,
tv23974,Using Segments as Dimensions in Analysis Workspace ,Analytics,This video shows how you can compare and visualize segments by using them as a dimension in Analysis Workspace.,/www/img/thumb/23974.jpg,,https://video.tv.adobe.com/v/23974/?quality=9,,,Video,,,,,,,,,,
tv23977,Using Segments in Analysis Workspace,Analytics,Learn how to apply segments to Analysis Workspace projects.,/www/img/thumb/23977.jpg,,https://video.tv.adobe.com/v/23977/?quality=9,,,Video,,,,,,,,,,
tv24032,Panel Level Segments in Analysis Workspace,Analytics,A brief overview of how to apply segments at the panel level,/www/img/thumb/24032.jpg,,https://video.tv.adobe.com/v/24032/?quality=9,,,Video,,,,,,,,,,
tv24036,Segment Drop Zone Improvements in Analysis Workspace,Analytics,Segment drop zones have been improved so you can truly drop anything anywhere in a project.,/www/img/thumb/24036.jpg,,https://video.tv.adobe.com/v/24036/?quality=9,,,Video,,,,,,,,,,
tv23743,Using different Attribution IQ models with segments in Analysis Workspace,Analytics,In this video you will learn how to use Attribution IQ models in conjunction with Adobe Analytics segments on your site.,/www/img/thumb/23743.jpg,,https://video.tv.adobe.com/v/23743/?quality=9,,,Video,,,,,,,,,,
